n,m,case,time_seconds,negCycle,reachable,sumDist
20,80,pos,7.08e-07,0,20,149
20,80,neg,1.667e-06,1,20,-2665
50,250,pos,2.208e-06,0,50,896
50,250,neg,1.075e-05,1,50,-14096
100,700,pos,5.833e-06,0,100,1134
100,700,neg,5.0875e-05,1,100,-92817
200,2000,pos,1.6375e-05,0,200,1241
200,2000,neg,0.000267458,1,200,-669750
400,6000,pos,4.6041e-05,0,400,1685
400,6000,neg,0.001484208,1,400,-6215823
